objectid,parentid,title,interviewees,creator,date,description,subject,subject_cdm,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
chp199108,,Oral history interview with Thomas Shoji Takemura,"Takemura, Thomas Shoji","Stout, Susan",1991,"The interview recounts Thomas Shoji Takemura's early childhood and family life on a truck gardening farm in Fife, Washington before the start of the Second World War, as well as their forced evacuation to the Assembly Center in Puyallup, Washington. Takemura's experience of camp life is recalled in some detail. During this time, neighbors agreed to take care of the family's property. Takemura eventually obtained a release to work at a U & I factory processing sugar beets in Chinook, Montana, where he met his future wife. He also discusses his involvement in the national redress movement and related lecturing at local area schools.","Takemura, Thomas Shoji; Puyallup Assembly Center, Japanese American Citizens' League; Utah-Idaho Sugar Company; Japanese Americans; Fife; Civic leaders; Evacuation and relocation; 1942-1945; Reparations; World War; 1939-1945; Tacoma; Ethnic relations; 20th century; Race relations","Takemura, Thomas Shoji--Interviews; Puyallup Assembly Center (Puyallup, Wash.)--Personal narratives; Japanese American Citizens' League; Utah-Idaho Sugar Company; Japanese Americans--Washington (State)--Fife--Interviews; Civic leaders--Washington (State)--Fife--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Japanese Americans--Washington (State); World War, 1939-1945--Washington (State); Tacoma (Wash.)--Ethnic relations--History--20th century; Tacoma (Wash.)--Race relations",Fife,47.239277,-122.3576898,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",transcript,https://server16786.contentdm.oclc.org/dmwebservices/index.php?q=dmGetStreamingFile/tacomacomm/54.mp3/byte/json,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/tacomacomm/50/default.jpg,,,
chp199102,,The Timber Challenge,"Estrada, Eudoro, 1933-","Boyd, Deborah D.",1991,"The interview discusses Eudoro Estrada's life in Mexico, his struggles when he first arrived in the United States, and his efforts to start and maintain what became a successful reforestation business. Estrada also describes his family life and briefly touches upon the discrimination he encountered as a Mexican American businessman in Washington State.","Estrada, Eudoro, 1993; Sylvia Reforestation, Inc.; Mexican Americans; Hoquiam; Tacoma; Businessmen; Immigrant workers; Latin Americans; Discrimination in employment; Reforestation; Ethnic relations","Estrada, Eudoro, 1933---Interviews; Sylvia Reforestation, Inc.; Mexican Americans--Washington (State)--Hoquiam--Interviews; Mexican Americans--Washington (State)--Tacoma--Interviews; Businessmen--Washington (State)--Hoquiam--Interviews; Businessmen--Washington (State)--Tacoma--Interviews; Foreign workers, Mexican--Washington (State); Foreign workers, Latin American--Washington (State); Discrimination in employment--Washington (State); Mexican American families--Washington (State); Mexicans--Employment--Washington (State); Reforestation--Washington (State); Washington (State)--Ethnic relations; Hoquiam (Wash.)--Ethnic relations; Tacoma (Wash.)--Ethnic relations",Grays Harbor County,46.98570379,-123.9567748,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/tacomacomm/26/default.jpg?highlightTerms=CHP1991-02,,,
chp1991021,chp199102,"Deborah Boyd, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,https://digitalcollections.lib.washington.edu/digital/collection/tacomacomm/id/27.pdf,,,,
chp1991022,chp199102,"Eudoro Estrada, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,https://digitalcollections.lib.washington.edu/digital/collection/tacomacomm/id/28.pdf,,,,
chp1991023,chp199102,"Eudoro Estrada, photograph",,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/tacomacomm/26/default.jpg?highlightTerms=CHP1991-02,,,,
chp199103,,Italians in Hilltop,"Gallucci, Bob, 1920-1996","Hathaway, Dian",1991,"The collection contains two interviews with Bob Gallucci, in which he discusses his experiences growing up as a second generation Italian American within a first generation immigrant extended family household in the Hilltop neighborhood of Tacoma, Washington during the pre- and post World War II years. Gallucci describes the attitudes of his immigrant parents, what life in Hilltop was like during the early and mid twentieth century, the current (1990s) problems of Hilltop, and his reasons for becoming active in issues relating to peace and social justice.","Gallucci, Bob, 1928-1996; Italian Americans; Tacoma; Hilltop; Social conditions; 20th century; Social life and customs","Gallucci, Bob, 1920-1996--Interviews; Italian Americans--Washington (State)--Tacoma--Interviews; Italian Americans--Washington (State)--Tacoma; Italian American families--Washington (State)--Tacoma; Hilltop (Tacoma, Wash.)--Social conditions--20th century; Hilltop (Tacoma, Wash.)--Social life and customs--20th century",Hilltop,47.24537592,-122.452731,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",transcript,,,,,
chp1991031,chp199103,"Dian Hathaway, research essay",,,,,,,,,,,,,,,,,pdf,https://digitalcollections.lib.washington.edu/digital/collection/tacomacomm/id/18.pdf,,,,
chp1991032,chp199103,"Bob Gallucci, interview transcript",,,,,,,,,,,,,,,,,pdf,https://digitalcollections.lib.washington.edu/digital/collection/tacomacomm/id/16.pdf,,,,
chp1991033,chp199103,Project bibliography,,,,,,,,,,,,,,,,,pdf,https://digitalcollections.lib.washington.edu/digital/collection/tacomacomm/id/17.pdf,,,,
chp199110,,The Changing Peoples of Hilltop,"Walker, Charles","Treat, Michelle F.",1991,"Long-time resident Charles Walker reflects back on thirty years of Hilltop history and describes the areas shifting demographics during the 1960s, 70s, and 80s. A retired businessman, Walker focuses in particular on the K Street Business District and the local economic impact of the 1970s recession. He also comments on his work with the Tacoma Urban League, the Black Businessmen's Association, and the Now, Mr. Lincoln program.","Walker, Charles, 1928-1996; African Americans; Tacoma; Civic leaders; Small business; 20th century; Hilltop","Walker, Charles, 1928-1996--Interviews; African American businesspeople--Washington (State)--Tacoma Interviews; African American civic leaders--Washington (State)--Tacoma Interviews; African Americans--Washington (State)--Tacoma Interviews; Small business--Washington (State)--Tacoma; Neighborhoods--Washington (State)--Tacoma; Tacoma (Wash.)--20th century--History; Hilltop (Tacoma, Wash.)",Hilltop,47.24537592,-122.452731,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",transcript,https://server16786.contentdm.oclc.org/dmwebservices/index.php?q=dmGetStreamingFile/tacomacomm/178.mp3/byte/json,,,,
